------------------------------------------------------------
Client connecting to 10.4.4.2, TCP port 5001 with pid 2506
TCP window size: 43.8 KByte (default)
------------------------------------------------------------
[  3] local 10.4.4.4 port 51898 connected with 10.4.4.2 port 5001
[ ID] Interval        Transfer    Bandwidth       Write/Err  Rtry    Cwnd/RTT
[  3] 6.10-6.20 sec   218 KBytes  17.8 Mbits/sec  1859/0          0      606K/294816 us
[  3] 6.20-6.30 sec   154 KBytes  12.6 Mbits/sec  1315/0          0      612K/296818 us
[  3] 6.30-6.40 sec   240 KBytes  19.7 Mbits/sec  2053/0          0      625K/297140 us
[  3] 6.40-6.50 sec   246 KBytes  20.2 Mbits/sec  2101/0          0      634K/308346 us
[  3] 6.50-6.60 sec   148 KBytes  12.1 Mbits/sec  1260/0          0      641K/306626 us
[  3] 6.60-6.70 sec   274 KBytes  22.4 Mbits/sec  2337/1          0      654K/311252 us
[  3] 6.70-6.80 sec   199 KBytes  16.3 Mbits/sec  1702/0          0      664K/316907 us
[  3] 6.80-6.90 sec   167 KBytes  13.6 Mbits/sec  1422/0          0      670K/321718 us
[  3] 6.90-7.00 sec   190 KBytes  15.5 Mbits/sec  1621/0          0      681K/321296 us
[  3] 7.00-7.10 sec   304 KBytes  24.9 Mbits/sec  2596/0          0      694K/336484 us
[  3] 7.10-7.20 sec   161 KBytes  13.2 Mbits/sec  1374/0          0      698K/339917 us
[  3] 7.20-7.30 sec   135 KBytes  11.0 Mbits/sec  1149/0          0      712K/327192 us
[  3] 7.30-7.40 sec   315 KBytes  25.8 Mbits/sec  2691/1          0      721K/345687 us
[  3] 7.40-7.50 sec   200 KBytes  16.4 Mbits/sec  1707/0          0      726K/343963 us
[  3] 7.50-7.60 sec   156 KBytes  12.8 Mbits/sec  1336/0          0      735K/347892 us
[  3] 7.60-7.70 sec   194 KBytes  15.9 Mbits/sec  1654/0          0      749K/348440 us
[  3] 7.70-7.80 sec   266 KBytes  21.8 Mbits/sec  2269/0          0      756K/359668 us
[  3] 7.80-7.90 sec   264 KBytes  21.7 Mbits/sec  2258/0          0      766K/372716 us
[  3] 7.90-8.00 sec   126 KBytes  10.3 Mbits/sec  1075/0          0      774K/379195 us
[  3] 8.00-8.10 sec   136 KBytes  11.1 Mbits/sec  1159/0          0      780K/389244 us
[  3] 8.10-8.20 sec   375 KBytes  30.7 Mbits/sec  3198/0          0      797K/387063 us
[  3] 8.20-8.30 sec   168 KBytes  13.8 Mbits/sec  1437/0          0      803K/397926 us
[  3] 8.30-8.40 sec   120 KBytes  9.85 Mbits/sec  1026/1          0      810K/393845 us
